D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.000000
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.000000
44901|2012|Honda|Civic|SUV|Gray|103221|6995.000000
11111|1999|Audi|E-tron|SUV|blue|29900|28000.000000
22222|2000|Nissan|Rogue|SUV|Black|97000|10000.000000
10112|1993|Ford|Explorer|SUV|Red|525123|995.000000
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.000000
44901|2012|Honda|Civic|SUV|Gray|103221|6995.000000
11111|1999|Audi|E-tron|SUV|Blue|29900|28000.000000
22222|2000|Nissan|Rogue|SUV|Black|97000|10000.000000
33445|2015|Toyota|Camry|Sedan|Silver|80500|12000.000000
55667|2018|Chevrolet|Equinox|SUV|White|65400|18500.000000
77889|2010|Honda|Accord|Sedan|Gray|132000|8995.000000
99000|2019|Jeep|Wrangler|SUV|Green|41000|28995.000000
11223|2013|Ford|Fusion|Sedan|Red|98500|10995.000000
22334|2020|Nissan|Altima|Sedan|Blue|35000|22995.000000
33456|2008|Toyota|RAV4|SUV|White|148000|6995.000000
44567|2016|Hyundai|Sonata|Sedan|Silver|75500|13995.000000
55678|2014|Kia|Sportage|SUV|Black|89000|11995.000000
66789|2007|Chevrolet|Malibu|Sedan|Gray|160000|4995.000000
77890|2011|BMW|X3|SUV|Black|82000|15995.000000
88901|2017|Audi|Q5|SUV|White|60000|25995.000000
99012|2005|Honda|Pilot|SUV|Blue|175000|4995.000000
10123|2018|Ford|F-150|Truck|Silver|52000|27995.000000
21234|2003|Nissan|Frontier|Truck|Red|188000|5995.000000
32345|2014|Toyota|Corolla|Sedan|Gray|91000|9995.000000
43456|2021|Kia|Telluride|SUV|White|27000|36995.000000
54567|2012|Hyundai|Tucson|SUV|Green|112000|8995.000000
65678|1998|Chevrolet|Impala|Sedan|Blue|212000|2995.000000
76789|2009|Ford|Escape|SUV|Yellow|142000|6495.000000
87890|2016|Honda|CR-V|SUV|Silver|72000|17995.000000
98901|2013|BMW|3 Series|Sedan|Black|87000|16995.000000
10012|2010|Audi|A4|Sedan|Red|115000|9995.000000
11123|2019|Toyota|Tacoma|Truck|Gray|45000|31995.000000
12234|2002|Ford|Explorer|SUV|Blue|194000|3495.000000
13345|2015|Nissan|Sentra|Sedan|White|65500|10995.000000
14456|2008|Chevrolet|Silverado|Truck|Black|133000|10995.000000
15567|1999|Jeep|Cherokee|SUV|Green|201000|3995.000000
16678|2017|Hyundai|Elantra|Sedan|Silver|59000|13995.000000
17789|2020|Honda|Pilot|SUV|White|36000|31995.000000
18890|2013|Kia|Optima|Sedan|Blue|97000|10995.000000
19901|2012|BMW|5 Series|Sedan|Gray|102000|18995.000000
20012|2018|Audi|Q7|SUV|Black|58000|29995.000000
21123|2007|Toyota|Camry|Sedan|Silver|155000|6495.000000
22234|2019|Chevrolet|Equinox|SUV|White|47000|20995.000000
23345|2015|Nissan|Rogue|SUV|Red|83000|14995.000000
24456|2011|Jeep|Compass|SUV|Green|121000|8995.000000
25567|2005|Ford|Fusion|Sedan|Gray|167000|3995.000000
26678|2014|Hyundai|Santa Fe|SUV|Blue|94000|13995.000000
27789|2010|Kia|Sorento|SUV|Black|136000|7495.000000
28890|1997|Toyota|Corolla|Sedan|White|234000|1995.000000
29901|2016|Honda|Civic|Sedan|Silver|77000|14995.000000
30012|2022|BMW|X5|SUV|Black|19000|58995.000000
31123|2011|Audi|A6|Sedan|Gray|118000|11995.000000
32234|2017|Ford|Escape|SUV|Blue|67000|15995.000000
33345|1994|Nissan|Frontier|Truck|Red|220000|1995.000000
34456|2013|Toyota|RAV4|SUV|Silver|97000|13995.000000
35567|2020|Chevrolet|Malibu|Sedan|White|38000|21995.000000
36678|2015|Honda|Accord|Sedan|Black|91000|14995.000000
37789|2008|Hyundai|Tucson|SUV|Green|145000|5995.000000
38890|2019|Kia|Telluride|SUV|Gray|41000|33995.000000
39901|2001|BMW|X3|SUV|Blue|195000|4995.000000
40012|2010|Audi|A4|Sedan|White|134000|7995.000000
41123|2014|Ford|Ranger|Truck|Silver|93000|12995.000000
42234|2018|Toyota|Corolla|Sedan|Gray|54000|15995.000000
43345|2016|Chevrolet|Silverado|Truck|Black|78000|23995.000000
44456|2009|Nissan|Altima|Sedan|Red|142000|6995.000000
45567|1995|Jeep|Cherokee|SUV|Green|243000|2495.000000
46678|2013|Hyundai|Sonata|Sedan|White|99000|9995.000000
47789|2017|Kia|Optima|Sedan|Blue|62000|14995.000000
48890|2006|BMW|3 Series|Sedan|Gray|176000|4995.000000
49901|2015|Audi|Q5|SUV|Black|85000|19995.000000
50012|2011|Toyota|Camry|Sedan|Silver|124000|8995.000000
51123|2018|Chevrolet|Equinox|SUV|White|65000|18995.000000
52234|2007|Nissan|Rogue|SUV|Red|158000|6495.000000
53345|2019|Jeep|Compass|SUV|Green|48000|21995.000000
54456|2010|Ford|F-150|Truck|Blue|133000|10995.000000
55567|2016|Hyundai|Santa Fe|SUV|Black|73000|16995.000000
56678|2014|Kia|Sportage|SUV|Gray|91000|11995.000000
57789|2009|Toyota|RAV4|SUV|White|139000|7495.000000
58890|2015|Honda|Civic|Sedan|Silver|82000|12995.000000
59901|2017|BMW|X5|SUV|Black|59000|29995.000000
60012|2012|Audi|A6|Sedan|Blue|111000|13995.000000
61123|2005|Ford|Explorer|SUV|Gray|181000|4495.000000
62234|2020|Toyota|Tacoma|Truck|White|34000|32995.000000
63345|2016|Nissan|Altima|Sedan|Red|75000|14995.000000
64456|2013|Chevrolet|Impala|Sedan|Black|101000|9995.000000
65567|2008|Jeep|Wrangler|SUV|Green|147000|9995.000000
66678|2011|Hyundai|Elantra|Sedan|Silver|122000|7995.000000
67789|2019|Kia|Sorento|SUV|White|47000|23995.000000
68890|2015|Toyota|Corolla|Sedan|Gray|88000|10995.000000
69901|2009|Honda|CR-V|SUV|Blue|137000|7995.000000
70012|2017|BMW|3 Series|Sedan|Black|69000|17995.000000
71123|2014|Audi|Q7|SUV|Silver|87000|22995.000000
72234|2003|Ford|Fusion|Sedan|Red|176000|3995.000000
73345|2018|Toyota|Camry|Sedan|White|55000|18995.000000
74456|2016|Chevrolet|Silverado|Truck|Gray|81000|24995.000000
75567|2012|Nissan|Rogue|SUV|Blue|107000|9995.000000
76678|2006|Jeep|Cherokee|SUV|Black|168000|4995.000000
77789|2013|Hyundai|Sonata|Sedan|Silver|93000|10995.000000
78890|2019|Kia|Telluride|SUV|Gray|36000|33995.000000
79901|1998|Toyota|Tacoma|Truck|Green|230000|2495.000000
80012|2010|Honda|Accord|Sedan|White|125000|8995.000000
81123|2014|BMW|5 Series|Sedan|Black|89000|20995.000000
82234|2018|Audi|A4|Sedan|Blue|58000|18995.000000
83345|2021|Ford|Explorer|SUV|Red|24000|35995.000000
84456|2015|Toyota|RAV4|SUV|Silver|88000|15995.000000
85567|2007|Chevrolet|Malibu|Sedan|White|151000|5995.000000
86678|2016|Nissan|Frontier|Truck|Gray|84000|21995.000000
87789|2011|Jeep|Wrangler|SUV|Green|112000|13995.000000
88890|2020|Hyundai|Santa Fe|SUV|Black|31000|26995.000000
89901|2017|Kia|Optima|Sedan|Blue|64000|15995.000000
90012|2008|BMW|X3|SUV|Gray|152000|8995.000000
91123|2012|Audi|Q5|SUV|White|109000|13995.000000
92234|2015|Ford|Fusion|Sedan|Silver|83000|11995.000000
93345|2019|Toyota|Corolla|Sedan|Black|41000|17995.000000
94456|2013|Chevrolet|Equinox|SUV|Red|96000|12995.000000
95567|2009|Nissan|Sentra|Sedan|Gray|141000|6995.000000
96678|2017|Jeep|Compass|SUV|Green|59000|17995.000000
97789|2010|Hyundai|Tucson|SUV|White|126000|7995.000000
98890|2014|Kia|Sorento|SUV|Silver|94000|11995.000000
99901|2016|BMW|X5|SUV|Black|73000|26995.000000
10002|2011|Audi|A6|Sedan|Blue|118000|11995.000000
10113|2018|Ford|Ranger|Truck|Gray|56000|24995.000000
10224|2020|Toyota|Camry|Sedan|White|31000|22995.000000
10335|2014|Chevrolet|Silverado|Truck|Red|93000|20995.000000
10446|2007|Nissan|Altima|Sedan|Black|156000|4995.000000
10557|2012|Jeep|Cherokee|SUV|Green|108000|9995.000000
10668|2015|Hyundai|Elantra|Sedan|Silver|81000|10995.000000
10779|2018|Kia|Sportage|SUV|Blue|64000|15995.000000
10880|2021|Honda|Civic|Sedan|White|24000|24995.000000
10991|2019|BMW|3 Series|Sedan|Black|46000|24995.000000
11002|2016|Audi|Q7|SUV|Gray|71000|23995.000000
